CG3358 CG1550
EBI-196425 SEC61ALPHA
EBI-530681 EBI-145669
EBI-198400 CPR65AX2
CYCJ EBI-140532
EBI-128409 RPS16
CG5466 EBI-82680
INVADOLYSIN EBI-88803
EBI-158134 CG33213
CG11327 NTF-2
EBI-220185 L(3)NEO38
RAD51D RAW
CG32581 CG30344
CG7144 CG13689
HRB27C LOQS
MED19 SQD
RPII33 MRPL14
EBI-147527 CHD64
MOE DLG1
CG15167 CG15576
TANGO12 CG31909
CG13379 RACK1
DL EVE
VN EGFR
CG11672 PEBII
TLL CG2157
GNU CG5846
CG9986 CG11284
CG14210 RPLP1
NUP133 GEM
CG7011 RPL15
JOG PP1ALPHA-96A
CDK5 CG11963
LOK SRP54
SOFE CG5376
CG6856 EBI-208011
CG11583 CSN1A
SURF6 MRG15
ABS CYCB
ORC4 DFD
CG4570 CG13458
CG3281 CG12470
CG4835 TPI
GEM CG11377
CG30417 CG2909
CG9527 CG3508
CG7787 EBI-144629
MICAL CG14258
CACTIN EBI-130934
MAD2 MHCL
CENG1A AKT1
CG10510 EBI-93158
CG2713 EBI-112411
CNN ZF30C
BOWL CG14815
PSR CG15445
FRQ1 EBI-103891
CG13949 CG13083
CG11881 CG11015
HH RASP
EBI-102987 SMD3
ESN CG6724
CG10862 CG32581
TUN CG12701
TFIIA-L DEAF1
DRONGO SOP
CG11347 CG11164
CG1368 EBI-148231
LIN19 SKPA
EBI-128171 YPS
GSC CG4617
CG7970 CG7945
CG1745 CG3338
CG15167 CG11164
EBI-195768 RPS3A
CG9986 CG1847
CG6719 EBI-110730
CG13287 CG1273
CG17658 PAT1
CPR97EB CG17271
CG9797 CG14110
CG12116 CG9773
EBI-172583 CG9809
EBI-458558 EBI-466537
STAR1 MTS
MOE CMET
DANR GSTS1
CG14204 RPL13
CG8121 PLI
CG7352 CG2865
CACTIN MRPS26
A16 POXN
BICC AP-50
CG13287 EBI-164534
EBI-132366 DELTACOP
ESG CPR72EA
EBI-101212 CG12470
LSD-1 CG14453
POLO DDB1
CG1041 KIN17
PLU STAM
CG4785 CPR64AD
CG13138 CG13728
CG11275 CG7713
CG14053 CG9316
CG9986 SKTL
CG9951 SEC3
RHOGAP92B CG18005
CG7172 HOMER
CG11672 EBI-193710
LCP2 HLH4C
RAB6 EBI-134218
WNTD EBI-121063
CG32584 CG32809
UNC-115 CG14815
CG7196 CG10700
EBI-167711 EBI-128171
CG32100 EBI-85713
RBPJ N
EBI-198400 EBI-92490
TRA2 TRA2
EBI-424900 SLO
CG18094 DF31
EBI-1627435 CG14546
CG6833 SLP1
ORC2 SU(VAR)205
ATTB EBI-116955
EBI-101527 EIF-2BETA
CG13287 BETATUB56D
HSP67BA FOR
RPLP1 DEI
JBUG GATAD
CG7196 PIS
CHI FTZ
POXM LOJ
BETAGGT-II CG7071
SPHEROIDE ACP95EF
CG14164 RPS26
CG9784 SDHB
E(SPL) E(SPL)
CG11566 SNR1
EBI-190441 EBI-156272
MER L(1)G0168
RAPS CG7386
CG6707 EBI-121063
SEC10 SU(HW)
CG12010 PROS45
DL TUB
EBI-155002 HR96
EBI-101527 CG6770
CG2046 CG2199
CG6569 MIO
RAD23 CG13131
CG8942 CG12708
DNAPOL-IOTA CG3222
CG9511 D
CG14864 CRQ
CG14868 L(1)G0431
CKIIBETA DX
LD14 NINAE
ALPHAPS5 ZETATRY
CKS85A CG5731
CG7264 EBI-168948
PMS2 EBI-149729
EBI-161439 NUP58
PTC CG5568
SUN PK17E
SNAP24 SYX1A
CG10396 CG11163
CG13627 ORG-1
MRE11 CG32164
EBI-199389 EBI-130561
BETATUB56D NCD
SNR1 MOR
CG8128 CG14215
S SPI
SRP68 EBI-84709
EBI-163776 CG15293
EBI-133084 L(2)K09022
DLG1 X11LBETA
SH3PX1 CG13458
EBI-114041 CG17186
MAD2 CG6163
GFT DOA
EBI-190547 VHA26
EBI-105213 CG12723
DPLD CG7173
CG1894 GLYP
TBP TFIIA-L
KRN S
CG2021 YP1
CG9510 GWL
CG12994 CG11163
CG14684 CG5062
CG9130 RPLP1
CG15529 AC
CG4617 CTBP
CG14011 CG4730
CG2865 EBI-189814
CYCC CG12985
EBI-160861 PAR-6
X11L FAS2
ESG BAP60
EBI-152117 EBI-179816
CPR92A SPRI
CG8128 PUF68
EBI-159623 EBI-96370
DX CG12393
OFS CG7548
CG3335 EBI-142836
PRM CG10147
EIG71EK NPLP2
NEJ SOX21B
STAR1 EBI-86506
EBI-137887 CG9173
SU(VAR)2-10 STAT92E
EBI-196335 GLO
CYP9F2 HSP70AB
CG8831 CG6856
CG4960 MED30
CG17776 PI3K21B
CG32581 UBI-P5E
LAP1 CG3056
EBI-170192 EBI-210979
RECQ4 CG1962
TOS S6KII
CG8128 CG17180
CG14506 CG30263
CG11350 CG14089
EBI-117175 EBI-150889
CYCC EIP63E
CYCK PH-D
YELLOW-G CG10904
AATS-ARG HSP23
TANGO6 EBI-83388
SKPB CG1324
CG9130 MIB2
USNP CG14145
CG9573 CG17376
MED4 CG40006
EBI-128409 EBI-84026
EBI-190547 ING3
CG17568 CG4709
CG9593 RPL34B
CG6664 EBI-174207
CG6196 CSN5
CG9624 PROS26.4
ANXB11 EBI-148303
CG4802 CG12470
CG3099 BETATUB56D
CG17331 PPL
EBI-136574 RPL36
MNB STUMPS
CG13840 SINA
EBI-178130 CG18764
CG17377 CG14147
EBI-109477 CG11577
CG16719 CRC
CG4641 GRP
HSP60B CG6910
CG5225 CG31626
CG15031 CHN
CG8301 BRK
RPB11 RPS3A
CG15564 EBI-182021
EBI-182205 RPL13A
VHAAC39 EBI-210979
NUP133 SAP-R
RDX CG8360
DNAPOL-IOTA PAX
CG6416 MRPL24
CANA1 CG10508
RPT4 MRPL30
EBI-164632 CG11538
CG15676 CG7048
RHOGAP68F SEC3
CG10559 EBI-130468
CG4681 CG8942
CG12985 CG14840
CG13576 MAD
CG17855 CG15514
CG12000 CDK5
CG8455 DLL
CG30077 CG14145
MLF DNAJ-1
CG11581 CG4702
SLD5 OFS
CG15136 JON74E
SPZ3 CPR72EA
PIF1A CG12985
VIG CG8351
EBI-458558 CG9184
EBI-198120 CG13838
CG8292 EBI-178079
ARU CG5346
CG8965 CG10621
CG17776 EBI-159091
MORGUE CG14853
CG8368 CG8929
CG7379 CG5802
EBI-216413 SH
CG14540 ALPHA-SPEC
CG13889 EBI-233088
CG10710 CG4328
CG4069 RPS29
CG1135 SYX16
CG3891 ZFH1
CG2540 EBI-162306
CG4328 NC73EF
CG7231 DSD
CG6569 CG3342
CG11771 CG8942
CG9951 NC2ALPHA
CG5618 HSP70AB
CG13131 CG9360
LPR1 CG5846
CG15185 EBI-113903
CG14216 IA2
RHOGAP92B CG15459
CG10703 EBI-136768
CG14089 EF2B
CPR92A SAR1
SPN-B CG5522
CG8965 CG10147
PTC ZF30C
EBI-161602 CG18766
EYG EBI-179816
CG17107 L(2)37CE
GFT SMG6
CG13373 PHDP
CG8929 E(R)
CG4325 CG15524
CYCJ CG5731
EBI-84573 CG13458
SLD5 TAF1
CG7381 EBI-179816
CG11444 RCA1
RECQ4 DFD
RPL22 PTC
SLAM DF31
TSP RIN
TEKTIN-A CG31036
E(Z) CG12081
CG18745 CG12393
CPR92A CG13047
CG7757 CG5537
PRM CG9297
PCL E(Z)
CG14216 CG17528
CG14216 DANR
FOR RPS3
CG11248 CG8065
CG31211 CG1622
EBI-208011 DEBCL
SNR1 CPA
EBI-166329 CG5026
CDK5 CG14534
BR SINU
MER CDI
CG9784 RLIP
CG3075 ACT5C
CG9248 CG32169
CG13379 RPS13
CG9437 CG2199
TOS CG14297
GM130 ATPSYN-B
CKS85A HEPH
EBI-208011 CG14818
EBI-188698 SMSR
CG9588 CG10694
EBI-458558 CG13806
NOI CG2701
CG5466 EBI-214451
EBI-149231 CG15370
CG13581 UMBREA
CG8417 CG15042
SIP1 CG2709
PAR-1 CG10616
TAMO CG1702
SEC10 HSP83
SLD5 PSF1
CG15764 RPL27
FMR1 FMR1
PROSBETA2 CG17331
ATPSYN-D CG15435
EBI-145169 HN
CG13287 D1
ARU CG12985
CPR72EA RPS3A
EBI-131530 CG10263
CG9511 EBI-252067
PTC SPN-A
TEQUILA CG5676
SP1 TAF4
VHA26 EF1ALPHA48D
EBI-85713 BZD
CPR92A CG2962
CG11776 HSP70AB
CG34376 MST84DA
PABP2 CG13458
ARP66B CHIC
CG8004 CG9393
CG7546 ODA
DOD CG17666
CYCK CG13138
ATBP SEMA-2A
HRP59 CG11498
CG11893 BIN1
MOD(MDG4) CG9572
SPI CG3173
CG13840 HOIP
EBI-199701 CKIIALPHA-I3
EBI-194571 PEN
CG14224 TOTC
CG32100 RPL27
EBI-123236 CG1440
LIM3 NUP133
ALD PHDP
MAD DAN
CG6897 EBI-83388
EBI-111518 CG13458
CG15167 RPLP1
CG6654 EIF4AIII
ELA CG5191
MEX1 CG11163
ESG CG7045
EBI-177531 ATG5
EBI-95841 YIP7
CG1324 CG5968
CG6950 RPS4
EBI-84773 CG5835
ES2 EBI-139944
CG14102 CG5958
EBI-102459 TCTP
CG14442 WDN
CG14204 HALE
SAK FRY
SEC10 TBPH
RAB6 PCS
LAM CG17599
EBI-130549 TANGO9
RHOGAP92B CG11881
EBI-188322 CG12470
CG14030 SMB
PTC AB
PTC CG10277
CG32159 L(3)J2D3
EBI-128385 CG32598
REG JBUG
ASH2 CG15436
CG34354 ALIX
PHDP CM
CG17003 EBI-140860
CG17153 CG8801
EBI-101869 MBO
RB 26-29-P
SYB BTBVII
CG11489 MND
EBI-153666 GW
PTC SNA
EBI-200992 CG13030
CG15167 CG4328
EBI-119138 CG5515
GRIM HSC70-4
EBI-90739 VM32E
EBI-113474 CG2767
CG33980 IPOD
CG16935 CG12470
CG9293 CG32809
EBI-183535 C15
CG10959 EBI-106794
M(2)21AB EIP71CD
CG4164 CG13066
MRPS17 EBI-184213
CG12470 CP38
CG5325 CG5284
MED19 CG15881
EBI-113877 BETATUB56D
CG15764 REG
CG3662 CG11594
MSI CYCB
GLO CG8942
RAB6 RPS8
CG18259 CG14625
CG6576 CG5386
CG13996 RAS
CG10311 CG12746
CG32772 CG15365
HRB87F CG9106
CG32159 MIT(1)15
CG14243 CG12091
CG13843 EBI-179577
CG9986 CG15313
CG6416 CG5053
FMR1 DOCK
PTC CG13900
REV7 CG11486
CG32369 CG10263
FANCL PHDP
CG7911 CG7386
EBI-119138 EBI-96219
ALP23B CG11275
CG7512 CG4617
CG6800 CG5731
EBI-155002 SEC13
EBI-187422 MHC
SRY-ALPHA AATS-THR
EBI-136550 CG10654
RAD23 CG15717
CG12576 CREBA
CG4289 CG6905
FMR1 CG12470
EBI-147266 RPS8
SYX16 CG16779
EBI-170347 CG7548
EBI-458558 STA
EBI-188413 CG32732
TSG EBI-196732
MER CG30492
EF1ALPHA48D CG12470
KIRRE ROLS
CG5149 CG15365
TJ CG5804
CG12470 DNAJ-1
DP E2F
CG7387 PN
PAL POMP
EBI-2110845 SPI
JOG PP1-13C
CG9040 EBI-128334
DNAPOL-DELTA SP1070
CG11865 NACALPHA
HSC70-4 CG8219
CG15141 CG10263
EBI-191255 FER3HCH
RUX CG15861
EBI-155060 EBI-134407
FD59A CG31973
EBI-105703 REV7
CG14684 RPLP1
SKPA CG3640
MBO CHIP
SEC5 14-3-3EPSILON
CYCA CG31204
EBI-127547 CYCB
BETA-SPEC STUMPS
CG7352 EBI-244773
CG6196 VHA13
RIN CG13458
CG17344 CG9650
SIRT2 CG17508
LAP1 CG2233
CG14101 EBI-179816
CYCA ARA
BCD TAF4
DOA PP4-19C
CG6576 CG10326
CG13405 EBI-75206
LOQS EBI-96077
OFS CG6933
CG10943 CG2199
ROBL22E EBI-178970
CG10267 CG10263
CNC SMB
MTTF CG14956
INAC NINAC
LIMK1 CSAT
EBI-161439 HLH4C
HN SE
CG6576 RPL35A
CG11380 CG14639
HALE EBI-85702
CNN MUD
RANGAP CG5708
CG32100 CG7757
EXBA CG8191
AMA NRT
EBI-156955 GLYP
CG13311 CG12470
CG6745 CG5440
ARI-2 CG15529
CG14216 SUUR
CG10075 NC73EF
EBI-132366 CG1837
TAF12 CG10092
ESG CNN
CG4998 EBI-153383
CG34357 VPS20
EBI-130134 EBI-185330
CG3081 CG13512
EBI-199701 EBI-108503
CG17154 CG8359
ESN CG6783
CG1104 RPS8
RPN1 CG6697
CG6576 CG14313
CG33980 CG30423
CG18178 BHR
CG4802 CIB
CG2865 ARI-2
CG14030 CG8959
SYX16 TAF1
CG14806 CG13090
N ANK2
ALPHA-CATENIN-RELATED DAH
CG10154 CG11489
CG4810 RPL38
MBT CG1523
CI EBI-145656
CI PRD
EBI-198509 ARC-P20
ALPHA-ADAPTIN NUMB
CG9192 CG12701
EBI-149231 CG32486
CAF1 MIP130
CG17255 RBP9
CG4963 EF1BETA
STEP CG8207
EBI-117175 CG6332
EBI-132998 CG14274
TUB PLL
DLC90F MSB1L
CG14546 CG7987
SLD5 MED
CG17667 ACP63F
EBI-88363 PYD3
SOL CG8942
LAP1 EBI-170508
EBI-146755 TEQUILA
CG34382 DM
EBI-95104 CKIIALPHA-I3
EBI-163776 RPLP2
CPR73D NMDYN-D7
CG5874 CG8942
CG7196 CG14005
CG6607 ADF1
CG8786 CG16826
CG6843 PABP
CG3630 EF1GAMMA
CG11327 TRAL
CG34377 CG12701
CG32036 CG6182
EBI-88363 RTGEF
RH2 RPL4
CG4810 CG4892
PTTH CG11164
CG5050 NIPPED-B
INVADOLYSIN CG7766
EBI-191450 SPN-F
JANA CG8065
CG4753 ALPHATUB84B
MIRA PROS
CG11092 CG16899
AKT1 GSB
SPN-B CG1646
EBI-125339 JON25BIII
EBI-198400 CG40127
CG32758 CG3386
CG13510 CG15293
SPX CPR72EA
BAP60 CG1674
CDC37 CG3640
CG13407 CG7309
TBPH CG4998
ROLS CG17666
EBI-177679 BTBVII
CG14957 CG9007
CG14540 CG1135
PUF68 26-29-P
RHOBTB CG3081
CG6950 CYP6A19
CG15772 EBI-102564
GSC CG11164
CG5111 CPR72EA
PPN AXN
HRS FJ
CG4483 BEAT-VI
EBI-197479 RAB5
CG14820 EBI-116450
CYCK CG1126
NCA CCP84AG
CG15167 PS
SNAPIN CG7220
SPIR CG14579
MNT GCR(ICH)
CG12725 HLH4C
RAPS GRAF
CG8128 CG4771
MER LID
CG9986 DR
GATAD2B EBI-185028
CG16812 MEI-S332
CG7139 CG15435
CG11722 EBI-156272
EBI-75338 RPS29
EBI-151120 HOIP
CG9072 CG13599
RDX ERR
CG12576 CG5148
SU(FU) CG32062
ATG1 CG5731
CG3884 SRC64B
CYCH CG4673
DAH NUF
EBI-131459 CHRO
RECQ4 CNO
CG1999 PLAP
EBI-109477 CG14645
DREF CG32406
EBI-202571 CG9392
EBI-93840 CG15293
CG13312 CG13482
CHEB93A LOLAL
AKT1 ENA
EBI-101527 ROE1
CG13373 EBI-74966
CG3085 STA
CG7338 CG17127
CG5731 EBI-169340
CG3552 EBI-458558
CG15141 MSI
CG14868 CG18619
FK506-BP2 RPS27
EBI-197717 RPL5
N EF1ALPHA48D
CP38 MLC2
CAMKII UBA2
ARU ND75
SEC5 LID
MAD LACK
CG34376 CG10032
CG8173 CAPT
EBI-150616 CG10914
ACP26AA TANGO11
POLO SPEN
CG9986 TANKYRASE
ROBL22E CG30409
CUL-2 LIP3
CG11881 CG4617
CHEA75A EBI-134407
CG31211 CG5989
CG3499 EBI-122357
COMM3 CG13277
CG8368 CG15601
URO EBI-83005
JUPITER CG10602
MLH1 SICK
BX42 EBI-91956
D1 CG18591
HN CG3645
CG6543 CG11165
ALIEN CG11247
CG5468 EBI-149231
CG6059 TRAF3
CG14216 CG14216
ACF1 ISWI
EIF4G EIF-4E
TEQUILA CG5180
EBI-199603 EBI-90277
PROSBETA5R1 TANGO14
CG8128 UFD1-LIKE
CG15729 CKIIBETA
MNB SPN-A
ROX8 MGE
CG31211 ING3
CG2843 CG3294
EBI-208662 EBI-185330
TOY D19A
CG34404 RPL23
CG17107 RPS20
CG6196 PGM
PSR OSK
CG2116 RPS26
RBP4 CYCB
EBI-186934 NMDYN-D7
CG10971 CG6733
LAS EBI-159475
EBI-127547 CG31226
HLHM7 HLH4C
AUX CG15436
EBI-139956 CDLC2
CP38 LIN19
CG13474 EBI-194372
PROSBETA3 CG13138
CG11881 L(3)J2D3
SH EBI-128171
EBI-84773 EBI-86340
CG14803 EIF-4A
APKC BAZ
EBI-170625 UBI-P5E
TAF12 RBSN
CG31163 HSP70AB
CYT-C-P CG9014
CG10274 EBI-93840
DNAPOL-ETA EBI-137132
EBI-204491 CG10979
MNB CG31038
ZETACOP EBI-151216
CG6800 EBI-466537
GRAU CTCF
EBI-204445 EBI-280684
CG3880 CG16723
CG12679 CG17377
CG7646 CG5720
CG9740 CG8436
CG11786 CG10211
CG18616 CG7175
CG6688 EBI-113191
HMX LOCO
EBI-208662 RPS3
PER CG3415
MPK2 CG32528
CG13474 EBI-173665
SO PIF1A
CG9624 GRASP65
PROSBETA3 CG1316
CG8128 PAN
PMS2 CG5118
CG5225 CG12703
N CG32972
CG4927 MUS209
EBI-131530 DLG1
GBB TKV
EBI-172583 CG3754
CHRW MER
CG18259 CG4095
CG15525 CBP
EBI-145169 EBI-105534
EBI-197428 CG15459
CG12679 CG31140
MTS CG2862
EBI-214451 YELLOW-E2
RBP4 CG32452
CG10103 EBI-185260
DYS CG13838
EBI-199603 CG7200
CNN AUR
MLH1 BSG25D
TJ CG3800
MEI-S332 CG1193
FHOS ACT42A
SNAP EBI-106536
AND CG16984
SALA GSTD1
EBI-205338 EBI-185330
CG13343 CG7828
CDK7 EBI-458616
HSP60B CG9247
CG18528 CG11791
RB MMY
CG9986 CG14219
EBI-164632 EBI-88763
CG9757 GSTD1
14-3-3EPSILON PAR-1
MOE CG2926
QKR58E-1 MED26
GSC RPS12
EBI-138930 CG15631
STAR1 CG11658
EBI-186011 PAR-1
CG17666 RPLP1
CI CG6915
CV-C PROS54
CG13659 EBI-185298
CG1017 MEI-S332
EBI-143525 GRAU
OPA CG10433
EBI-205381 CG3016
ELA 7B2
PSR DMRT11E
CG18094 EBI-104725
CABP1 CG18259
EBI-100325 STAM
PRC CG31224
EBI-178662 RPLP1
CG3825 FLW
CI CG3731
MICAL RPL37A
EXO84 UNC-13
CRN CG17801
CG13627 CG6905
CG7637 EBI-178878
GRIM TAF1
RPS27A PROS54
CG13840 STCK
CG13627 CG12645
HSP60B CG12680
CG18217 SRC42A
NUF CG6333
PERITROPHIN-A CKIIBETA
CNC EBI-105436
DRK CG13358
MST89B HPH
D19A MER
SYB UNC-13
CG12558 CHINMO
EBI-190441 CG14715
CG4159 CG10494
BOCKSBEUTEL ATPSYN-GAMMA
CG9368 EBI-197428
EBI-196335 CG4042
EBI-128409 EBI-115928
CG14667 CG31624
CG13405 EBI-165848
CG14341 CG15631
CG5860 CG32626
RHOGAP92B CG7102
CG3279 SYX16
BAP60 ARP8
EPSIN-LIKE EBI-143999
RIG ECR
CG15646 RAPS
VLS RPS26
PEZ EBI-82680
CG2246 TINA-1
MER CG3585
CI SGG
CG5514 CG7215
ARPC3B CG2025
CG14512 TAF12
CPR73D RPS3
CG5418 CG5418
MST98CA CA-P60A
CG6416 FAS1
CG10026 CG10802
EBI-141739 SCU
W CG9392
CG13131 E(BX)
SYN EBI-117826
TTK TTK
CG34377 CG13625
OFS RAB40
CDLC2 EBI-162306
EBI-157400 CG11164
CG15370 CG13492
SAV WTS
MRE11 TOU
CG7548 CG13992
BSK CG15631
CG7054 SURF4
ROX8 CG13031
CG31029 SYT7
SPX DRK
P130CAS BORR
EBI-182205 SRP54K
CG12576 CG7542
EBI-165118 CG12404
CP38 RPS3
ACTR13E CG4362
CG10353 CG4893
CG10164 EBI-198744
SMN CG10419
NUCB1 CG8128
LD14 UNR
CG7264 RPS3
CG7215 CG7546
EBI-128385 CG13032
CPR97EB CG9083
CP38 EBI-132050
PNG HRP59
TANGO6 CG5214
RCA1 SKPA
HAY STUMPS
CG14030 POD1
TOS CPR64AD
JON65AIV RPL27A
CG1461 CG5792
CG34401 OCN
CG15772 JHEBP29
CG10694 EBI-86340
CG15479 EBI-86340
EBI-160257 CG32169
CG14546 PAN
CG15043 CG11377
CG2865 GRHR
PNR USH
PROSBETA3 CG12985
EBI-137497 WDB
CG17776 CG17841
EBI-198509 EBI-198595
CG8292 STCK
FCP3C EBI-96424
PPD5 CG18666
CG32206 CG11164
CG31550 CYCB
CP38 RPS12
CG17331 RPT4
CG8173 CG13005
CG32654 ACER
SRC64B CG32406
CG32369 BSK
CG13022 EBI-173788
CG16978 EBI-131642
GRIM TH
EBI-88363 ART4
CYCG CG8863
SKD MED31
XBP1 EBI-239830
MYO10A SISA
TIM10 CG1950
CG8128 CG1120
CG14739 CG9106
CAF1 DP
CG11566 NTF-2
EBI-196732 MST84DC
CG11248 EBI-127250
SPN-A CG14897
CG7492 PHDP
CG16969 CG15376
CG4998 CG18292
PAR-6 L(2)GL
RAD51D HLHMGAMMA
MRPS17 CG5847
FMR1 CHIP
SEC10 MSP-300
EBI-125339 EBI-197099
COPROX EBI-198400
CG3323 DX
TEKTIN-A ESG
EBI-190547 CG12432
CG13139 FT
CG6933 BRK
CG9573 CG12262
PSR CG11164
HLHM7 CG4820
CG14354 CG13962
CG15523 GRIM
EBI-172583 CG1461
TM2 FLW
EBI-128334 CG13492
CHN RPL23A
CG3814 RPL37A
EBI-125769 CKA
CG17328 EBI-197099
EBI-129626 CG11164
PAK EBI-74904
RPS10B STUMPS
CG5846 CHORD
CG12393 CP36
CG9986 CG17217
CG13488 CG9135
EBI-170625 CG31797
CG5674 CG9083
CG11505 EBI-82680
CG9586 BAP60
PIE CYCC
MST89B STCK
BUN YKI
EBI-90739 CG9184
CG5623 TRL
CG17829 CG7101
CG13476 EBI-132258
RBF EBI-184456
CG32086 HLH4C
CG32654 EBI-206152
CG2652 EBI-84827
EBI-107291 CG14534
CG8942 CG17377
CG12766 CG30427
CG16826 CG4617
CG12721 CG10326
HBS1 CG4865
URO SOX14
EBI-208662 CG15308
EBI-102987 EBI-75219
EBI-95104 HLH4C
CI CG16863
CG6945 CYCB
PAT1 CG4004
CG14204 CRC
CP16 DDC
CG10274 RPS13
CG17826 EBI-212772
RSG7 EBI-115136
SBA CG31559
EBI-158134 SWA
ACT5C QUA
HLHM5 HLHMDELTA
CG9331 EBI-189834
CG14216 CORA
TEKTIN-A CG13843
CG9392 CAM
CACTIN CG6340
CG15423 CG12020
CG6808 CG11164
CG34376 CG9572
CG17121 NC2ALPHA
CG18476 ANT2
CG14818 CG9951
CG12798 CG6981
ME31B EIF-4E
CG5734 SF2
CG3056 CG13309
CG14204 CG17666
CG9902 EBI-166480
MED19 ODA
SRA PP2B-14D
CG17233 CG40451
EMC ASE
TANGO6 CG13843
ADAT CG40127
CG15177 CHI
CG3085 CG9597
PPN CG12056
EBI-208011 CG2765
MST98CA MYOGLIANIN
CDK4 RBF
LPR1 CG31036
CG14928 HN
CKIIALPHA SSL
CG3769 EBI-90217
CG18476 EBI-197099
CG30417 CG6770
EBI-161985 SZAR
REF(2)P DRP1
CG17564 TRAF3
CG17826 ARR1
MOD(MDG4) CG16817
CI JING
CG6904 CG13131
TINC CG6231
EBI-128385 AHCY13
CG4496 CG6543
PAK EBI-97544
NOMPB NEP2
SNR1 PDE11
MAM CG3415
RDX CG6206
CG9776 CG6674
CG6290 CRN
CG3021 SYX4
EBI-137632 EBI-121063
CG8368 CG5468
CG31291 EBI-102727
EBI-187156 CG14119
Z OSA
CG2091 RPS3A
SAV SLIF
ATPSYN-D CDC2
CG13022 EBI-134407
CG14718 GLT
CG4641 EBI-163776
CDK4 CDC2
EBI-85713 CG12470
CG12589 CG1091
CG9986 CG32647
MAD BOWL
HSP67BA EBI-190703
EBI-128409 RACK1
EBI-168390 SULF1
DOA EBI-466705
KP78B DIMM
FTZ-F1 CIC
CG10486 RPL11
PDM2 D
CG6163 HLH4C
TAF1 TAF6
DSK EBI-174538
CG2052 EIF3-S10
CG14961 DIA
CI SHOT
CG6543 CG7379
DNAPOL-DELTA BI
PUF68 CG7757
CG14985 CNC
HN CG8036
CG15475 RPL19
CG16972 CG9468
EBI-173665 CG9754
CG4865 DAH
CG9117 EBI-280684
CG17599 EBI-174207
SU(S) RPS3
CG14820 YP1
CG5734 PRAT2
CG15382 REG
EBI-114261 RPS16
CG3225 CG12470
OPA CG5537
CG30327 KL-3
CG6891 RPS15AA
CG31120 CG10472
CG14380 ART1
CG14071 EBI-200569
SYX1A CG33980
SNR1 CG2083
CG9394 CG13030
NXT1 SBR
CG10032 RPS8
CG17361 TRC
SIP1 NONA
KLC CG14627
ACT88F MHC
CG1638 EBI-132115
CG15690 EBI-179816
EBI-159995 OSK
CG13840 CG31924
CG5984 CG11164
RPR CG2791
BCD BIN1
STV ARD1
EBI-102987 HSP27
CG3081 CG10032
HN CG13936
MOE CONT
CG4038 RPS26
FOR EBI-134407
BUR CG7386
ENOK CG18745
JUPITER CG11412
CG15153 GAPDH1
CUL-2 DOA
CG3081 CG10650
CG13840 EBI-82680
CG9986 CG17298
ASX TAN
CG8368 ORG-1
ALD CG32169
EBI-114041 GS1
CG9715 DIP1
ACP26AA CG5315
EBI-199603 CG17781
DOA CG14546
CDK5 CG14619
CG11163 CG11163
FLW PHM
SLD5 SC2
LOQS CG14062
EBI-119320 CG16753
CG9511 RPL9
ACTR13E HO
CG3800 CECC
CG7146 RPS4
MSI CG7789
CG10116 CG18745
CG17360 BAP
EBI-128409 EBI-274168
EBI-174207 EF1ALPHA48D
CG16972 EBI-127260
CG7196 CG2010
CDC2C CG6293
PTC CYCK
CG15423 CG9083
EBI-200992 CYCB
CG8997 ME31B
CPB CG1847
PROS28.1 ARF72A
AC HLHM7
CG11896 DNAPOL-ALPHA50
MED17 ARM
CG8368 CG7177
ROX8 ELA
CG13627 NUFIP
CG9986 CG10575
EBI-171485 CG7379
EBI-153308 EBI-131642
EBI-458558 CG5708
CI EBI-147195
SOL BM-40-SPARC
GRASP65 EBI-197099
OFS MOD(R)
IPK2 CG6512
CG11380 EF1ALPHA48D
ZORMIN HSP60
CG32810 C15
CG5017 CG10263
CG2865 EBI-142836
SIP1 CG14408
CG5674 MBO
CBP CG15482
CG31163 TSP
MCM10 ORC2
OKR CG13030
RBP9 EBI-190712
CG33980 CG10211
TRN-SR CG15578
CG3918 CG6843
PP2C1 RPL31
CSTF-64 CG12229
PUF68 TOTM
CG30393 CG10535
EBI-140532 CDC14
RAS85D PRD
CI EBI-187485
CG18217 CG10948
CG14145 CRC
CG6279 PR
CDC2C CG15676
CG13117 TSP
TAF12 P
BAB2 BIP2
CPR100A EBI-103820
CG12470 EBI-107078
PLU CG5708
SIP2 CG17286
CG5053 CG5053
CG9593 RPS13
CG32772 FER3
CG9986 RPS8
TEKTIN-A CG12496
RAC1 CDGAPR
CG3062 EBI-115136
TOS EBI-161439
EBI-122823 CG12877
CG32598 NACALPHA
SIRT7 POLO
CG3085 C15
MOE CG4294
BEST2 CG30428
CG10494 CG32369
PEZ EBI-107078
EBI-119012 EBI-200614
OLI BETACOP
EBI-84773 CG1910
CG32772 PHDP
CG8541 CG15422
FD59A MUS205
CG8316 CG32068
CG7518 PHYL
CG2691 EBI-149119
CG7830 EPSILONCOP
EBI-198120 RPL8
MYO10A RPS5B
CRN WEK
SAK CG14387
POXM CG11844
LOQS EBI-105513
CG8455 EBI-97544
SIP1 ZF30C
CG10694 RPN1
MNB CG33275
CG17568 CG40451
CG41099 CG15422
CG4554 TH
NXT1 SBR
EBI-190471 EXD
CG31534 GRP
CG11190 CG5973
CG11769 CG9769
CG9588 CG18745
ACT5C CIB
CG31211 EBI-94713
